,SAMPLE_NUMBER,SAMPLE_TYPE,BATCH_ID,DATE_VISITED,ATLAS_CODE,X_COORD,Y_COORD,Ag_XRF,Al_XRF,As_XRF,Ba_XRF,Bi_XRF,Br_XRF,Ca_XRF,Cd_XRF,Ce_XRF,Cl_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Fe_XRF,Ga_XRF,Ge_XRF,Hf_XRF,Hg_AAS,Hg_XRF,I_XRF,In_XRF,K_XRF,La_XRF,LOI450,Mg_XRF,Mn_XRF,Mo_XRF,Na_XRF,Nb_XRF,Nd_XRF,Ni_XRF,P_XRF,Pb_XRF,pH,Rb_XRF,S_XRF,Sb_XRF,Sc_XRF,Se_XRF,Si_XRF,Sm_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Te_XRF,Th_XRF,Ti_XRF,Tl_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Yb_XRF,Zn_XRF,Zr_XRF,DRIFTS,LANDUSES,CLASTS,SITE_CONTAMINANTS,SOIL_TEXTURE,COMMENTS,elevation,slope,aspect,plan.curve,profile.curve,twi,mrvbf,mrrtf,population,landuse
11,610012,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,252720,655860,#0.25,88872,6,446,#0.25,27.6,9505.51,#0.25,68.86,NA,26,67,1,21.7,58959.42,18.6,2,6.4,NA,NA,7,NA,13364.61,25.97,11.19,10855.8,1239.2,2.4,7419,35.4,NA,25.5,1920.16,44.3,NA,42,NA,#0.5,14,0.6,236302,NA,2.97,127.4,1.8,#0.5,5.4,12139.88,#0.25,1.1,142,#0.35,21.8,NA,114.2,278.3,"soil, regolith(observed at site); till(observed at site);",commercial and residential(observed at site); urban open space tended but unproductive(observed at site); coniferous woodland recent(observed at site);,sandstone (undifferentiated),NA,silty clay,"carbonaceous clasts in a hor,  carbonaceous clasts in s hor",118.6999969,0.023319604,1.030375123,-0.006960926,-0.000317389,9.330996513,2.975846052,0.03052354,1699,21
12,610013,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254420,672680,#0.25,66125,6.5,388,#0.25,12.8,4574.08,#0.25,58.31,NA,18,91,1,35.2,41194.66,11.3,3.9,4.5,NA,NA,1,NA,9712.17,28.27,7.77,6634.1,650.58,1.3,7419,13.4,NA,39.8,1440.12,98.9,NA,28.5,NA,#0.5,12,0.6,254048,NA,8.47,101.6,#0.6,#0.5,5.7,6288.75,#0.25,1.4,116,1,16.5,NA,112.4,215.4,"soil, regolith(observed at site)",recreational area(observed at site),dolerite (synonymous with microgabbro),bricks,silt,"park at academy playing field.  red brick in a and s hor.  s soil - also with clay and sand, large coal frags, lst angular to sub-angular.  a soil qtz is rounded.",60.20000076,0.019207016,0.674741268,-0.003250414,-0.000357363,8.921766281,2.900759459,1.629222274,2785,21
13,610014,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,252030,655720,#0.25,79350,7.9,728,#0.25,25.4,12578.72,#0.25,81.76,NA,46,76,1,52.6,55532.36,18.5,3.7,6.6,NA,NA,3,NA,12368.49,36.32,15.75,9046.5,1169.49,2.5,7419,31.7,NA,57.5,1963.8,533.8,NA,35.6,NA,#0.5,15,1.2,227429,NA,8.99,189.7,1.6,#0.5,7.2,11204.66,1.2,1.1,162,#0.35,29.4,NA,202.2,244,"soil, regolith(observed at site); till(observed at site);",textile manufacture(observed at site),NA,plastic,medium clay,next to pond adjacent to dye works. blue plastic frags in s soil. e1 drift from map carbonaceous clasts in s hor,126.8000031,0.030256324,0.132549196,-0.001483203,-0.000354621,8.8673563,2.935847044,0.1434104,1699,1
14,610015,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,255430,674060,#0.25,87285,13.1,394,#0.25,20.3,5145.84,#0.25,75.9,NA,31,113,1,75.3,55112.72,19.5,9,3.4,NA,NA,3,NA,10625.28,36.32,12.54,6634.1,650.58,3.1,0,17,NA,64.5,1396.48,210.5,NA,41.9,NA,1.2,17,2,239104,NA,20.2,96.6,#0.6,#0.5,8.2,7607.66,0.9,1.8,166,#0.35,24.2,NA,167.8,198.6,"soil, regolith(observed at site); till(observed at site);",recreational area(observed at site),NA,coal tailings,silt,coal frags in s hor.,42.70000076,0.107838966,1.131936789,0.001478385,0.000196488,8.320014954,1.961616516,0.007022813,2833,1
15,610016,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253340,672840,#0.25,88343,7.2,447,#0.25,17.3,9219.63,#0.25,72.38,NA,31,106,1,43.4,55392.48,15.3,2.5,4.6,NA,NA,2,NA,10791.3,32.87,8.27,8443.4,1084.3,2.5,7419,20.2,NA,50.5,1091,107.9,NA,40.7,NA,#0.5,17,0.8,244708,NA,8.47,119.7,1.9,#0.5,7.2,8746.7,#0.25,1.9,154,#0.35,24.2,NA,113.7,232.5,"soil, regolith(observed at site); till(observed at site);",urban open space(observed at site),sandstone (undifferentiated),bricks; coal tailings;,silty clay,grass verge adjacent to busy road.  clasts in both hors sub rounded.,77.80000305,0.022667661,2.41861248,0.011502472,-0.000180638,9.264022827,2.958904982,2.536451817,3258,21
16,610017,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,252730,672810,#0.25,87814,11.2,426,#0.25,18.5,4931.43,#0.25,60.66,NA,24,129,1,28.9,54413.32,16.4,3.5,5.9,NA,NA,4,NA,9629.16,30.57,11.91,5427.9,782.24,2,7419,20.3,NA,39.8,1352.84,84.1,NA,38.8,NA,#0.5,13,1,242840,NA,8.89,84.5,#0.6,#0.5,6.6,8554.86,#0.25,2,149,#0.35,17.8,NA,105.1,229.5,"soil, regolith(observed at site); till(observed at site);",recreational area(observed at site),NA,NA,silty clay,clast in s hor sub-rounded.  land use - park.,93.40000153,0.062885188,2.571208715,-0.014334811,-0.000315482,8.400576591,1.761324644,0.030567216,1040,4
17,610018,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,258000,668120,#0.25,80408,12.5,347,#0.25,18.3,1357.93,#0.25,78.24,NA,19,96,3,102.7,42453.58,14.6,6.6,5.5,NA,NA,5,NA,9878.19,39.77,8.39,3015.5,356.27,1.6,0,12.5,NA,33.3,1047.36,185,NA,38.1,NA,1.7,11,1.5,252647,NA,13.97,76.2,#0.6,#0.5,7.1,5287.59,#0.25,2.1,111,#0.35,19.5,NA,83.3,277.1,"soil, regolith(observed at site)",arable land(observed at site),dolerite (synonymous with microgabbro),bricks,silt,"red brick in s hor.  or patches in s hor. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",79.80000305,0.075394891,3.02216363,0.001353924,0.000255539,7.137844086,0.011327556,2.714843512,4679,4
18,610019,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253270,674250,#0.25,68770,9.4,232,#0.25,37.9,1214.99,#0.25,46.59,NA,21,99,1,24.3,49237.76,13.1,3.2,6.5,NA,NA,11,NA,8965.08,19.06,12.54,4824.8,1030.08,1.7,0,20,NA,26.6,1745.6,90,NA,32.3,NA,#0.5,12,1.3,248444,NA,3.8,44.6,#0.6,#0.5,4.4,9771.85,#0.25,#0.3,134,#0.35,12.6,NA,58,251.6,"soil, regolith(observed at site); till(observed at site);",grass moor(observed at site); deciduous woodland recent(observed at site);,sandstone (undifferentiated),NA,silt,"a hor - top 5cm db in colour.  sample site, bracken vegetated open clearing in woods. carbonaceous clasts in a hor,",114.6999969,0.097206779,1.34322834,-0.00972037,-0.000268294,7.396196842,0.663237631,0.090718329,1453,1
19,610020,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254410,656750,#0.25,87814,11.8,423,#0.25,28,7147,#0.25,77.07,NA,35,127,1,41.7,57490.68,18.3,3.8,5.9,NA,NA,6,NA,10625.28,32.87,11.04,9649.6,1146.26,12.2,7419,30.9,NA,64.8,1440.12,96.5,NA,35.8,NA,1.1,16,0.9,239104,NA,7.02,119.2,1.6,#0.5,6.8,11390.5,#0.25,1.8,166,#0.35,23.4,NA,208.8,276.7,"soil, regolith(observed at site); till(observed at site);",urban open space tended but unproductive(observed at site),limestone,glazed china; plastic;,silty clay,"grass area in cul de sac. sub-angular clasts 0.5 - 2 cm. white sandstone clasts. white china and white perspects in sample. e1 drift from map. carbonaceous clasts in a hor,",92.09999847,0.050946079,0.446106493,0.006282347,0.000278575,9.081377983,1.86346674,0.286233306,2297,4
20,610021,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,256110,675140,#0.25,75647,8.2,366,#0.25,34.6,3930.85,#0.25,50.1,NA,22,91,1,29.1,44691.66,14,3.3,5.2,NA,NA,11,NA,10127.22,22.51,10.43,7840.3,511.17,1.4,7419,17.8,NA,36.6,1265.56,63.1,NA,27.8,NA,#0.5,13,0.9,249845,NA,4.73,86.9,#0.6,#0.5,4.8,8626.8,0.8,#0.3,139,1,14.8,NA,90.6,236.4,"soil, regolith(observed at site); till(observed at site);",urban open space(observed at site),NA,NA,silty clay,"carbonaceous clasts in a hor,  carbonaceous clasts in s hor",82.80000305,0.037981756,3.141592741,-0.021052614,-0.00023948,7.975018501,1.784188747,1.412238836,97,4
21,610023,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,254280,654800,#0.25,88343,8,369,#0.25,47.4,5145.84,#0.25,57.14,NA,27,57,1,26.1,60568.04,20.8,3.7,6.3,NA,NA,10,NA,11621.4,22.51,16.17,10252.7,759.01,2.4,7419,45.4,NA,25.7,2531.12,72.3,NA,32.7,NA,#0.5,14,1.1,229764,NA,4.73,111.8,#0.6,#0.5,6.1,17403.48,#0.25,1.2,168,#0.35,21.6,NA,154.5,299,"soil, regolith(observed at site)",grass moor(observed at site),NA,coal tailings,silt,grass field near residential area. coal in a and s.,147.5,0.054150373,0.916225433,-0.001304328,-8.89E-05,8.717805862,0.372252494,2.819988728,389,4
22,610024,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,255070,655710,#0.25,87814,3.5,449,#0.25,24.8,7718.76,#0.25,75.9,NA,32,83,1,24.6,62526.36,19.9,1.3,4.9,NA,NA,4,NA,14609.76,29.42,12.87,13871.3,1130.77,1.6,7419,36.8,NA,34.7,1963.8,35.5,NA,45.3,NA,#0.5,15,0.6,233500,NA,2.66,114.1,3.5,#0.5,5.8,14118.22,#0.25,1.3,151,#0.35,24.4,NA,102.6,274.5,"soil, regolith(observed at site)",recreational area(observed at site),NA,coal tailings,silt,coal tailings in s. concrete chips in s.,106,0.021928173,0.422851384,0.002153775,-2.72E-05,10.13202095,2.980939627,0.605198801,2375,4
23,610025,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,256100,656080,#0.25,85169,4,447,#0.25,12.6,10577.56,#0.25,65.35,NA,41,89,1,23.9,63295.7,17.9,1.8,4.7,NA,NA,1,NA,12534.51,24.81,6.49,15077.5,1022.34,1.3,7419,31.8,NA,47.5,1352.84,25,NA,35.2,NA,#0.5,15,#0.1,236769,NA,1.93,137.3,#0.6,#0.5,5.4,13141.04,#0.25,#0.3,147,#0.35,23.8,NA,94,257.7,"soil, regolith(observed at site)",urban open space tended but unproductive(observed at site),NA,NA,silt,fine soil beneath conifers.,106.1999969,0.019310754,5.912294865,-0.000949539,-4.16E-05,9.367602348,2.834889174,0.228817582,1979,21
24,610026,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253250,674740,#0.25,93633,4.9,376,#0.25,15.8,2930.27,#0.25,71.21,NA,40,133,1,30.6,68890.9,20.1,0.9,5.9,NA,NA,4,NA,13281.6,27.12,4.5,9046.5,890.68,1,7419,33.1,NA,70.2,872.8,16.7,NA,43.1,NA,#0.5,18,0.3,240972,NA,1.21,88.9,1.4,#0.5,5.5,13003.16,#0.25,0.7,167,#0.35,24.8,NA,70.4,283.4,"soil, regolith(observed at site); till(observed at site);",grass moor(observed at site),NA,clear glass,silt,"a hor - angular clear glass, or streaks in 1 auger, 2 augers clsi.  s hor - 2 augers lb clay, no sand at bottom  yellow sand at bottom of s hor, 1 auger gy sand at bottom with yellow sandy patches, sub angular clasts.  grassy area beside ro",101.6999969,0.128367737,1.173025489,0.005550175,-0.00040621,8.35662365,0.777699053,0.026864719,1453,3
25,610027,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253100,657090,#0.25,82524,8.3,397,#0.25,33,8862.28,#0.25,70.04,NA,25,92,1,42,56091.88,18.6,4,5.8,NA,NA,7,NA,11621.4,30.57,13.79,9046.5,1564.49,3,7419,33.8,NA,35.7,3229.36,102.5,NA,39.5,NA,#0.5,14,0.9,232566,NA,5.88,125.3,2.5,#0.5,6.5,10299.41,0.6,1.5,154,1.9,22.6,NA,170.1,269.3,"soil, regolith(observed at site); till(observed at site);",urban open space(observed at site); major roads/verge(observed at site);,NA,NA,silt,"e1 drift from map. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",107.0999985,0.032268882,6.000630379,0.006383064,-4.60E-05,8.900218964,0.024632094,2.920691252,871,21
26,610028,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,252790,673830,#0.25,83053,10.9,845,#0.25,16.1,14937.23,#0.25,72.38,NA,22,95,2,28.5,46859.8,15.4,0.9,4.6,NA,NA,1,NA,14194.71,36.32,10.48,10252.7,820.97,1.7,7419,17.1,NA,45.9,1003.72,33.8,NA,51.2,NA,#0.5,17,0.9,245175,NA,2.55,146.9,#0.6,#0.5,6.8,6546.54,#0.25,3.2,126,#0.35,22.8,NA,62.9,202.2,"soil, regolith(observed at site); till(observed at site);",urban open space(observed at site),chert; slate;,bricks; coal tailings;,silt,"suburban cul-de-sac, grass verge.  red brick and coal in a and s.  gy and or sandy patches in s.",144.3000031,0.090624504,0.419341892,-0.001442969,-0.000581651,7.609461784,0.171223313,1.260917306,1306,21
27,610029,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,255190,657220,#0.25,89401,6.8,378,#0.25,18.9,4431.14,#0.25,82.93,NA,28,112,1,23.6,52175.24,17.8,2.6,6.9,NA,NA,4,NA,12036.45,39.77,11.54,6634.1,813.22,1.6,0,27.8,NA,47.6,1091,48.9,NA,43.5,NA,#0.5,15,0.5,240505,NA,2.87,80.8,#0.6,#0.5,6.9,9963.69,0.7,1.5,138,#0.35,21.4,NA,87.7,277.1,"soil, regolith(observed at site); till(observed at site);",arable land(observed at site),sandstone (undifferentiated),coal tailings,silt,bank to sw corner of golf club house. yellow sand grains in a and  s. sub-angular clasts. coal in a. e1 drift from map.,83.80000305,0.032376923,4.55739212,0.013839486,-0.000467499,8.048866272,1.950515747,0.105804957,1124,4
28,610030,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,257670,655860,#0.25,88343,8.4,544,#0.25,5.5,17867.5,#0.25,81.76,NA,31,104,1,50.9,56581.46,17.8,2.6,4.9,NA,NA,1,NA,15024.81,35.17,5.48,11458.9,1068.81,1.7,7419,24.2,NA,65.6,1047.36,131.4,NA,51.5,NA,#0.5,16,0.4,243307,NA,17.3,147.3,2.1,#0.5,8.2,8291.09,#0.25,1.2,125,#0.35,27,NA,110.6,270.4,"soil, regolith(observed at site)",deciduous woodland established(observed at site); tips(observed at site);,sandstone (undifferentiated),bricks; bulk industrial waste;,medium clay,vehicle scrap yard on nw corner of site. red brick in a and s. tarmac frags at site. gravel gravel in a. 3d00 is sub-rounded. red brick is sub-angular. carbonaceous clasts in s hor,82.40000153,0.054653797,5.028358936,-0.003910547,-0.001160844,8.638268471,3.396652699,0.008287031,147,1
29,610031,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253240,656830,#0.25,87285,7.5,668,#0.25,22.5,8004.64,#0.25,79.41,NA,31,91,1,36.4,59309.12,18.3,3,5.6,NA,NA,4,NA,11870.43,32.87,11.49,9046.5,1301.16,2.7,7419,32.4,NA,44.9,1701.96,61.1,NA,42.2,NA,#0.5,15,0.8,237236,NA,5.36,133.4,1.7,#0.5,7.4,10377.35,#0.25,1.7,143,#0.35,23.1,NA,116.1,282.5,"soil, regolith(observed at site); till(observed at site);",urban open space(observed at site); commercial and residential(observed at site);,sandstone (undifferentiated); limestone;,bricks,medium clay,"grey sand in s. e1 drift from map. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",101.1999969,0.033003144,2.528384447,0.005010164,-0.000524555,9.152290344,2.394417286,0.687700212,3525,21
30,610032,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,255650,674220,#0.25,71415,7.5,442,#0.25,19.3,6718.18,#0.25,51.28,NA,28,111,1,33.2,50007.1,14,3.2,5.5,NA,NA,5,NA,10293.24,20.21,8.1,9649.6,844.2,1,7419,19.6,NA,43.4,1789.24,63.3,NA,29.3,NA,#0.5,14,0.7,248911,NA,5.05,134.4,#0.6,#0.5,3.9,10053.62,#0.25,1,154,#0.35,18.6,NA,112,237.7,"soil, regolith(observed at site); till(observed at site);",commercial and residential(observed at site); railways(observed at site);,dolerite (synonymous with microgabbro); mudstone;,coal tailings,sandy loam,s hor - yellow sand patches. coal frags in a and s. carbonaceous clasts in s hor,48.79999924,0.034971442,5.742765903,0.008070522,0.000157358,9.338979721,2.876330137,1.632609844,2833,21
31,610033,SHALLOW SOIL (5 -20CM),10068,7/30/2001,GLAS,253990,657230,#0.25,86227,7.1,477,#0.25,20.2,6074.95,#0.25,67.69,NA,32,118,1,36.7,54693.08,16.9,3.1,7.1,NA,NA,4,NA,10874.31,29.42,9.14,8443.4,1177.24,1.9,7419,26.3,NA,47.9,1352.84,92.6,NA,41,NA,#0.5,15,0.7,244241,NA,5.77,101.1,#0.6,#0.5,6.9,9753.86,0.7,1.4,152,#0.35,19.1,NA,122.8,278.7,"soil, regolith(observed at site); till(observed at site);",urban open space tended but unproductive(observed at site),NA,manufactured metal; bricks; plastic;,silty clay,"grass verge. foil from kit kat at site. red brick in a and s. or/ye plastic. white sand particles in s.  e1 drift from map. carbonaceous clasts in a hor,  carbonaceous clasts in s hor",87.19999695,0.067572668,0.974596679,0.002402406,-0.000399835,8.81022644,2.879773378,0.178120792,871,21
